"Головін Ігор Володимирович, ПОЛІТИЧНА ПАРТІЯ \"СВІДОМА НАЦІЯ\"";NA;"0,37";"300";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №12";" 100,00";"(Вінницька область)"
"Юрчишин Петро Васильович, самовисування";NA;"36,41";"26 742";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Максименко Юрій Володимирович, ПОЛІТИЧНА ПАРТІЯ \"СЛУГА НАРОДУ\"";NA;"27,27";"20 033";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Колесник Ірина Миколаївна, Політична Партія \"ГОЛОС\"";NA;"8,55";"6 284";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Крученюк Олександр Васильович, Політична партія \"Європейська Солідарність\"";NA;"8,44";"6 204";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Бойко Юрій Іванович, ПОЛІТИЧНА ПАРТІЯ \"СИЛА І ЧЕСТЬ\"";NA;"4,98";"3 664";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Матвіюк Сергій Анатолійович, самовисування";NA;"4,29";"3 154";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Стахов Валерій Іванович, самовисування";NA;"3,68";"2 705";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Реп’ях Олександр Анатолійович, самовисування";NA;"2,21";"1 625";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Москалюк Андрій Петрович, Політична партія \"ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ\"";NA;"1,76";"1 299";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Вербецький Андрій Олегович, самовисування";NA;"0,87";"645";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Яремчук Юрій Якович, Політична партія \"ОПОЗИЦІЙНИЙ БЛОК\"";NA;"0,85";"630";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Побережний Олег Володимирович, ПОЛІТИЧНА ПАРТІЯ \"СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ\"";NA;"0,61";"454";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №13";" 100,00";"(Вінницька область)"
"Борзова Ірина Наумівна, ПОЛІТИЧНА ПАРТІЯ \"СЛУГА НАРОДУ\"";NA;"30,09";"23 816";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Щербаківська Людмила Михайлівна, політична партія Всеукраїнське об’єднання \"Батьківщина\"";NA;"14,18";"11 227";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Кушнір Анатолій Петрович, самовисування";NA;"13,75";"10 888";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Мельничук Іван Іванович, Політична партія \"Європейська Солідарність\"";NA;"12,78";"10 121";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Лутковська Світлана Михайлівна, самовисування";NA;"5,49";"4 352";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Брояка Вадим Францович, самовисування";NA;"3,66";"2 897";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Мартинюк Анатолій Григорович, ПОЛІТИЧНА ПАРТІЯ \"СИЛА І ЧЕСТЬ\"";NA;"3,62";"2 870";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Кінщак Володимир Андрійович, Політична партія \"ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ\"";NA;"2,77";"2 193";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Дикий Микола Борисович, самовисування";NA;"2,53";"2 007";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Сімакова Наталя Михайлівна, самовисування";NA;"2,40";"1 900";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Дунайчук Альона Вікторівна, Політична партія \"ОПОЗИЦІЙНИЙ БЛОК\"";NA;"1,79";"1 423";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Швець Борис Степанович, Політична партія \"Об’єднання \"САМОПОМІЧ\"";NA;"1,34";"1 061";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Середа Віталій Вікторович, самовисування";NA;"1,31";"1 038";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Юхимчук Анатолій Петрович, самовисування";NA;"1,21";"963";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Кривак Іван Васильович, самовисування";NA;"1,12";"893";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Ткачук Віталій Миколайович, самовисування";NA;"1,06";"846";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Слівінський Анатолій Михайлович, самовисування";NA;"0,80";"641";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №14";" 100,00";"(Вінницька область)"
"Білозір Лариса Миколаївна, самовисування";NA;"35,87";"26 143";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Пращук Віталій Юрійович, ПОЛІТИЧНА ПАРТІЯ \"СЛУГА НАРОДУ\"";NA;"30,67";"22 356";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Копера Дмитро Васильович, політична партія Всеукраїнське об’єднання \"Батьківщина\"";NA;"11,35";"8 276";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Спориш Іван Дмитрович, самовисування";NA;"4,59";"3 351";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Соляник Вадим Сергійович, самовисування";NA;"4,54";"3 313";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Івасько Василь Леонідович, політична партія Всеукраїнське об’єднання \"Свобода\"";NA;"3,73";"2 721";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Лунько Олександр Олександрович, Політична партія \"ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ\"";NA;"3,05";"2 227";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Мельник Павло Олегович, самовисування";NA;"2,39";"1 743";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Черкевич Олексій Анатолійович, Політична партія \"ОПОЗИЦІЙНИЙ БЛОК\"";NA;"2,09";"1 525";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Тітов Сергій Олександрович, самовисування";NA;"1,25";"913";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Романюк Володимир Васильович, самовисування";NA;"0,42";"307";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №15";" 100,00";"(Вінницька область)"
"Вацак Геннадій Анатолійович, самовисування";NA;"32,65";"20 557";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №16";" 100,00";"(Вінницька область)"
"Томляк Таїса Сергіївна, ПОЛІТИЧНА ПАРТІЯ \"СЛУГА НАРОДУ\"";NA;"25,40";"15 991";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №16";" 100,00";"(Вінницька область)"
"Македон Юрій Миколайович, самовисування";NA;"15,56";"9 797";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №16";" 100,00";"(Вінницька область)"
"Василишен Володимир Миколайович, Аграрна партія України";NA;"7,05";"4 439";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №16";" 100,00";"(Вінницька область)"
"Вдовцов Михайло Михайлович, Політична партія \"Європейська Солідарність\"";NA;"5,28";"3 328";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №16";" 100,00";"(Вінницька область)"
"Галета Роксолана Ігорівна, самовисування";NA;"3,27";"2 064";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №16";" 100,00";"(Вінницька область)"
"Сірант Володимир Володимирович, політична партія Всеукраїнське об’єднання \"Батьківщина\"";NA;"2,99";"1 888";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №16";" 100,00";"(Вінницька область)"
"Антонець Тетяна Іванівна, Політична партія \"ОПОЗИЦІЙНИЙ БЛОК\"";NA;"2,33";"1 467";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №16";" 100,00";"(Вінницька область)"
"Воліковський Валентин Михайлович, політична партія Всеукраїнське об’єднання \"Свобода\"";NA;"1,72";"1 087";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №16";" 100,00";"(Вінницька область)"
"Склярук Олександр Вікторович, самовисування";NA;"1,34";"847";"Відомості про підрахунок голосів виборців в одномандатному виборчому окрузі №16";" 100,00";"(Вінницька область)"
